Ejercicio|Sociedad|Fecha de documento SAP|CAR SUNAT SAP|CAR SUNAT Archivo|Mensaje|
2026|1007|02.06.2026|2053799558103B8060000024203|2053799558103B8060000024203|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024204|2053799558103B8060000024204|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024205|2053799558103B8060000024205|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024206|2053799558103B8060000024206|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025213|2053799558103B8070000025213|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025214|2053799558103B8070000025214|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024207|2053799558103B8060000024207|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024208|2053799558103B8060000024208|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024209|2053799558103B8060000024209|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024210|2053799558103B8060000024210|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025215|2053799558103B8070000025215|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024212|2053799558103B8060000024212|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025216|2053799558103B8070000025216|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024213|2053799558103B8060000024213|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024214|2053799558103B8060000024214|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024215|2053799558103B8060000024215|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024217|2053799558103B8060000024217|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024218|2053799558103B8060000024218|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025217|2053799558103B8070000025217|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024219|2053799558103B8060000024219|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024220|2053799558103B8060000024220|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024221|2053799558103B8060000024221|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024223|2053799558103B8060000024223|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024224|2053799558103B8060000024224|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025218|2053799558103B8070000025218|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024225|2053799558103B8060000024225|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024226|2053799558103B8060000024226| Diferencia en monto PEN - 133.9 con respecto al archivo.|
2026|1007|02.06.2026|2053799558103B8060000024227|2053799558103B8060000024227|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025219|2053799558103B8070000025219|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024228|2053799558103B8060000024228|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024216|2053799558103B8060000024216|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001704|2053799558101F8070000001704|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001705|2053799558101F8070000001705|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001706|2053799558101F8070000001706|Registro OK.|
2026|1007|02.06.2026|2053799558101F8070000001707|2053799558101F8070000001707|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024229|2053799558103B8060000024229|Registro OK.|
2026|1007|02.06.2026|2053799558103B8060000024231|2053799558103B8060000024231| Diferencia en monto PEN - 2.04 con respecto al archivo.|
2026|1007|02.06.2026|2053799558103B8070000025189|2053799558103B8070000025189|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010161|2053799558103B8050000010161|Registro OK.|
2026|1007|02.06.2026|2053799558103B8070000025190|2053799558103B8070000025190|Registro OK.|
2026|1007|02.06.2026|2053799558103B8050000010163|2053799558103B8050000010163|Registro OK.|
